project,description,version,developers,url,year,licenses,license urls,dependency
Activity,Provides the base Activity subclass and the relevant hooks to build a composable structure on top.,1.9.2,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/activity#1.9.2,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.activity:activity:1.9.2
Activity Compose,Compose integration with Activity,1.9.2,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/activity#1.9.2,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.activity:activity-compose:1.9.2
Activity Kotlin Extensions,"Kotlin extensions for 'activity' artifact",1.9.2,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/activity#1.9.2,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.activity:activity-ktx:1.9.2
Android App Startup Runtime,Android App Startup Runtime,1.1.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/startup#1.1.1,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.startup:startup-runtime:1.1.1
Android Arch-Common,Android Arch-Common,2.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/arch-core#2.2.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.arch.core:core-common:2.2.0
Android Arch-Runtime,Android Arch-Runtime,2.2.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/arch-core#2.2.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.arch.core:core-runtime:2.2.0
Android ConstraintLayout,ConstraintLayout for Android,2.0.1,The Android Open Source Project,http://tools.android.com,2007,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.constraintlayout:constraintlayout:2.0.1
Android ConstraintLayout Solver,Solver for ConstraintLayout,2.0.1,The Android Open Source Project,http://tools.android.com,2007,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.constraintlayout:constraintlayout-solver:2.0.1
Android Resource Inspection - Annotations,Annotation processors for Android resource and layout inspection,1.0.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/resourceinspection#1.0.1,2021,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.resourceinspection:resourceinspection-annotation:1.0.1
Android Support AnimatedVectorDrawable,Android Support AnimatedVectorDrawable,1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2015,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.vectordrawable:vectordrawable-animated:1.1.0
Android Support CardView v7,Android Support CardView v7,1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.cardview:cardview:1.0.0
Android Support DynamicAnimation,"Physics-based animation in support library, where the animations are driven by physics force. You can use this Animation library to create smooth and realistic animations.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.dynamicanimation:dynamicanimation:1.0.0
Android Support Library collections,Standalone efficient collections.,1.1.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.collection:collection:1.1.0
Android Support Library Coordinator Layout,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2011,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.coordinatorlayout:coordinatorlayout:1.1.0
Android Support Library core utils,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.legacy:legacy-support-core-utils:1.0.0
Android Support Library Cursor Adapter,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.cursoradapter:cursoradapter:1.0.0
Android Support Library Custom View,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.1.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.customview:customview:1.1.0
Android Support Library Document File,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.documentfile:documentfile:1.0.0
Android Support Library Drawer Layout,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.1.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.drawerlayout:drawerlayout:1.1.1
Android Support Library fragment,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.5.4,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/fragment#1.5.4,2011,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.fragment:fragment:1.5.4
Android Support Library Interpolators,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.interpolator:interpolator:1.0.0
Android Support Library loader,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2011,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.loader:loader:1.0.0
Android Support Library Local Broadcast Manager,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.localbroadcastmanager:localbroadcastmanager:1.0.0
Android Support Library Print,"The Support Library is a static library that you can add to your Android application in order to use APIs that are either not available for older platform versions or utility APIs that aren't a part of the framework APIs. Compatible on devices running API 14 or later.",1.0.0,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.print:print:1.0.0
